Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90144629,Casey,28,0,0,1.97,1.33
90144646,Casey,8,0,0,1.97,1.33
90144736,MMC- Clayton,13,0,0,0.77,1.33
90144754,Dandenong,1,0,0,2.72,1.33
90144787,MMC- Clayton,5,0,0,0.77,1.33
90144872,Casey,30,0,0,1.97,1.33
90144878,MMC- Clayton,5,0,0,0.77,1.33
90144901,MMC- Clayton,13,0,0,0.77,1.33
90144911,MMC- Clayton,5,1,20,0.77,1.33
90144933,Casey,7,0,0,1.97,1.33
90144951,Casey,7,1,14,1.97,1.33
90145024,MMC- Clayton,2,0,0,0.77,1.33
90145085,MMC- Clayton,12,0,0,0.77,1.33
90145086,MMC- Clayton,30,0,0,0.77,1.33
90145198,Dandenong,1,0,0,2.72,1.33
90145218,MMC- Clayton,6,0,0,0.77,1.33
90145257,MMC- Clayton,6,0,0,0.77,1.33
90145261,MMC- Clayton,1,0,0,0.77,1.33
90145292,Casey,1,0,0,1.97,1.33
90145292,MMC- Clayton,6,0,0,0.77,1.33
90145296,MMC- Clayton,1,0,0,0.77,1.33
90145323,Casey,2,0,0,1.97,1.33
90145385,Casey,5,0,0,1.97,1.33
90145390,MMC- Clayton,16,0,0,0.77,1.33
90145408,Casey,3,0,0,1.97,1.33
90145408,MMC- Clayton,10,0,0,0.77,1.33
90145457,Dandenong,1,0,0,2.72,1.33
90145469,Dandenong,5,1,20,2.72,1.33
90145507,Casey,1,0,0,1.97,1.33
90145525,Casey,5,0,0,1.97,1.33
90145549,MMC- Clayton,4,0,0,0.77,1.33
90145738,MMC- Clayton,12,0,0,0.77,1.33
90145741,Casey,5,0,0,1.97,1.33
90145754,MMC- Clayton,6,0,0,0.77,1.33
90145901,Casey,31,0,0,1.97,1.33
90145901,MMC- Clayton,37,0,0,0.77,1.33
90146246,Casey,2,0,0,1.97,1.33
90146286,Dandenong,1,0,0,2.72,1.33
90146286,MMC- Clayton,18,0,0,0.77,1.33
90148355,Casey,5,0,0,1.97,1.33
90148355,MMC- Clayton,2,0,0,0.77,1.33
90148374,Dandenong,1,0,0,2.72,1.33
90148809,MMC- Clayton,1,0,0,0.77,1.33
90149605,MMC- Clayton,9,0,0,0.77,1.33
90150180,MMC- Clayton,4,0,0,0.77,1.33
90152266,Casey,2,0,0,1.97,1.33
90152983,Casey,1,0,0,1.97,1.33
90153189,MMC- Clayton,1,0,0,0.77,1.33
90153195,MMC- Clayton,1,0,0,0.77,1.33
90153760,Casey,6,0,0,1.97,1.33
90154175,Casey,6,0,0,1.97,1.33
90154175,MMC- Clayton,13,0,0,0.77,1.33
90154371,Dandenong,5,1,20,2.72,1.33
90154449,Casey,2,0,0,1.97,1.33
90155188,MMC- Clayton,12,0,0,0.77,1.33
90155200,MMC- Clayton,20,0,0,0.77,1.33
90156769,Dandenong,1,0,0,2.72,1.33
90157612,MMC- Clayton,19,0,0,0.77,1.33
90159236,MMC- Clayton,4,0,0,0.77,1.33
90160332,MMC- Clayton,2,0,0,0.77,1.33
90160353,Casey,2,0,0,1.97,1.33
90160501,MMC- Clayton,4,0,0,0.77,1.33
90160513,MMC- Clayton,1,0,0,0.77,1.33
90160621,MMC- Clayton,1,0,0,0.77,1.33
90160622,Casey,1,0,0,1.97,1.33
