Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90145754,MMC- Clayton,6,0,0,1.17,1.25
90145901,Casey,31,0,0,1.62,1.25
90145901,MMC- Clayton,37,0,0,1.17,1.25
90146246,Casey,2,0,0,1.62,1.25
90146286,Dandenong,1,0,0,0.54,1.25
90146286,MMC- Clayton,18,0,0,1.17,1.25
90148355,Casey,5,0,0,1.62,1.25
90148355,MMC- Clayton,2,0,0,1.17,1.25
90148374,Dandenong,1,0,0,0.54,1.25
90148809,MMC- Clayton,1,0,0,1.17,1.25
90149605,MMC- Clayton,9,0,0,1.17,1.25
90150180,MMC- Clayton,4,0,0,1.17,1.25
90152266,Casey,2,0,0,1.62,1.25
90152983,Casey,1,0,0,1.62,1.25
90153189,MMC- Clayton,1,0,0,1.17,1.25
90153195,MMC- Clayton,1,0,0,1.17,1.25
90153760,Casey,6,1,16,1.62,1.25
90154175,Casey,6,0,0,1.62,1.25
90154175,MMC- Clayton,13,0,0,1.17,1.25
90154371,Dandenong,5,0,0,0.54,1.25
90154449,Casey,2,0,0,1.62,1.25
90155188,MMC- Clayton,12,0,0,1.17,1.25
90155200,MMC- Clayton,20,0,0,1.17,1.25
90156769,Dandenong,1,0,0,0.54,1.25
90157612,MMC- Clayton,19,0,0,1.17,1.25
90159236,MMC- Clayton,4,0,0,1.17,1.25
90160332,MMC- Clayton,2,0,0,1.17,1.25
90160353,Casey,2,0,0,1.62,1.25
90160501,MMC- Clayton,4,0,0,1.17,1.25
90160513,MMC- Clayton,1,0,0,1.17,1.25
90160621,MMC- Clayton,1,0,0,1.17,1.25
90160622,Casey,1,1,100,1.62,1.25
90160636,MMC- Clayton,2,0,0,1.17,1.25
90160647,Dandenong,1,0,0,0.54,1.25
90160650,Dandenong,3,0,0,0.54,1.25
90160655,Casey,1,0,0,1.62,1.25
90160699,MMC- Clayton,3,0,0,1.17,1.25
90160968,Dandenong,1,0,0,0.54,1.25
90161039,MMC- Clayton,21,0,0,1.17,1.25
90161091,MMC- Clayton,17,0,0,1.17,1.25
90161096,Casey,4,0,0,1.62,1.25
90161173,Casey,2,0,0,1.62,1.25
90161185,MMC- Clayton,1,0,0,1.17,1.25
90161376,MMC- Clayton,1,0,0,1.17,1.25
90161873,MMC- Clayton,19,0,0,1.17,1.25
90161944,Casey,4,0,0,1.62,1.25
90162065,Casey,17,0,0,1.62,1.25
90162077,MMC- Clayton,11,0,0,1.17,1.25
90162078,MMC- Clayton,13,0,0,1.17,1.25
90162079,MMC- Clayton,31,0,0,1.17,1.25
90162080,MMC- Clayton,5,0,0,1.17,1.25
90162081,MMC- Clayton,41,1,2,1.17,1.25
90162082,Casey,8,0,0,1.62,1.25
90162082,MMC- Clayton,9,0,0,1.17,1.25
90162251,MMC- Clayton,33,1,3,1.17,1.25
90162252,MMC- Clayton,27,0,0,1.17,1.25
90162330,MMC- Clayton,14,0,0,1.17,1.25
90162599,MMC- Clayton,37,2,5,1.17,1.25
90162759,MMC- Clayton,20,0,0,1.17,1.25
90162770,Casey,7,0,0,1.62,1.25
90162772,Dandenong,1,0,0,0.54,1.25
90162832,Casey,1,0,0,1.62,1.25
90162880,Casey,4,0,0,1.62,1.25
90162896,MMC- Clayton,13,0,0,1.17,1.25
90162925,Casey,17,2,11,1.62,1.25
90162953,Casey,2,0,0,1.62,1.25
90163243,Casey,4,0,0,1.62,1.25
