Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90124487,MMC- Clayton,2,0,0,0.05,0.03
90124491,Casey,5,0,0,0,0.03
90124492,MMC- Clayton,3,0,0,0.05,0.03
90124499,Dandenong,1,0,0,0,0.03
90124502,Casey,5,0,0,0,0.03
90124502,MMC- Clayton,2,0,0,0.05,0.03
90124505,MMC- Clayton,8,0,0,0.05,0.03
90124508,Casey,11,0,0,0,0.03
90124515,Dandenong,1,0,0,0,0.03
90124517,Dandenong,4,0,0,0,0.03
90124517,MMC- Clayton,3,0,0,0.05,0.03
90124523,MMC- Clayton,2,0,0,0.05,0.03
90124524,MMC- Clayton,11,0,0,0.05,0.03
90124526,MMC- Clayton,19,0,0,0.05,0.03
90124539,Casey,1,0,0,0,0.03
90124543,Casey,2,0,0,0,0.03
90124543,MMC- Clayton,3,0,0,0.05,0.03
90124546,MMC- Clayton,2,0,0,0.05,0.03
90124552,Casey,2,0,0,0,0.03
90124561,Dandenong,6,0,0,0,0.03
90124561,MMC- Clayton,9,0,0,0.05,0.03
90124563,MMC- Clayton,1,0,0,0.05,0.03
90124565,Dandenong,2,0,0,0,0.03
90124570,Casey,2,0,0,0,0.03
90124570,Dandenong,1,0,0,0,0.03
90124574,Casey,7,0,0,0,0.03
90124585,MMC- Clayton,3,0,0,0.05,0.03
90124609,MMC- Clayton,24,0,0,0.05,0.03
90124612,Casey,5,0,0,0,0.03
90124621,MMC- Clayton,24,0,0,0.05,0.03
90124633,MMC- Clayton,2,0,0,0.05,0.03
90124637,MMC- Clayton,6,0,0,0.05,0.03
90124642,Casey,11,0,0,0,0.03
90124682,MMC- Clayton,5,0,0,0.05,0.03
90124698,MMC- Clayton,14,0,0,0.05,0.03
90124936,Casey,5,0,0,0,0.03
90124939,Casey,1,0,0,0,0.03
90127293,MMC- Clayton,5,0,0,0.05,0.03
90127515,MMC- Clayton,4,0,0,0.05,0.03
90132167,Casey,29,0,0,0,0.03
90135325,Casey,12,0,0,0,0.03
90136838,MMC- Clayton,17,0,0,0.05,0.03
90136845,MMC- Clayton,1,0,0,0.05,0.03
90136849,MMC- Clayton,4,0,0,0.05,0.03
90136850,MMC- Clayton,16,0,0,0.05,0.03
90137181,Casey,1,0,0,0,0.03
90137813,Casey,19,0,0,0,0.03
90137813,MMC- Clayton,1,0,0,0.05,0.03
90138704,MMC- Clayton,9,0,0,0.05,0.03
90138705,MMC- Clayton,9,0,0,0.05,0.03
90139416,Dandenong,1,0,0,0,0.03
90140200,Casey,3,0,0,0,0.03
90140978,Dandenong,1,0,0,0,0.03
90141465,Casey,3,0,0,0,0.03
90141884,MMC- Clayton,4,0,0,0.05,0.03
90142519,MMC- Clayton,22,0,0,0.05,0.03
90142803,Casey,2,0,0,0,0.03
90142812,Casey,3,0,0,0,0.03
90142824,MMC- Clayton,8,0,0,0.05,0.03
90142827,Casey,6,0,0,0,0.03
90142841,Casey,7,0,0,0,0.03
90142841,MMC- Clayton,1,0,0,0.05,0.03
90142861,Casey,1,0,0,0,0.03
90142863,Casey,1,0,0,0,0.03
90142876,Casey,1,0,0,0,0.03
90142879,Casey,1,0,0,0,0.03
90144220,Casey,4,0,0,0,0.03
90144405,MMC- Clayton,39,0,0,0.05,0.03
90144435,MMC- Clayton,1,0,0,0.05,0.03
90144443,MMC- Clayton,20,0,0,0.05,0.03
90144606,Casey,1,0,0,0,0.03
90144607,MMC- Clayton,3,0,0,0.05,0.03
90144627,Dandenong,5,0,0,0,0.03
90144629,Casey,28,0,0,0,0.03
90144646,Casey,8,0,0,0,0.03
90144736,MMC- Clayton,13,0,0,0.05,0.03
90144754,Dandenong,1,0,0,0,0.03
90144787,MMC- Clayton,5,0,0,0.05,0.03
90144872,Casey,30,0,0,0,0.03
90144878,MMC- Clayton,5,0,0,0.05,0.03
90144901,MMC- Clayton,13,0,0,0.05,0.03
90144911,MMC- Clayton,5,0,0,0.05,0.03
90144933,Casey,7,0,0,0,0.03
90144951,Casey,7,0,0,0,0.03
90145024,MMC- Clayton,2,0,0,0.05,0.03
90145085,MMC- Clayton,12,0,0,0.05,0.03
90145086,MMC- Clayton,30,0,0,0.05,0.03
90145198,Dandenong,1,0,0,0,0.03
90145218,MMC- Clayton,6,0,0,0.05,0.03
90145257,MMC- Clayton,6,0,0,0.05,0.03
90145261,MMC- Clayton,1,0,0,0.05,0.03
90145292,Casey,1,0,0,0,0.03
90145292,MMC- Clayton,6,0,0,0.05,0.03
90145296,MMC- Clayton,1,0,0,0.05,0.03
90145323,Casey,2,0,0,0,0.03
90145385,Casey,5,0,0,0,0.03
90145390,MMC- Clayton,16,0,0,0.05,0.03
90145408,Casey,3,0,0,0,0.03
90145408,MMC- Clayton,10,0,0,0.05,0.03
90145457,Dandenong,1,0,0,0,0.03
90145469,Dandenong,5,0,0,0,0.03
90145507,Casey,1,0,0,0,0.03
90145525,Casey,5,0,0,0,0.03
90145549,MMC- Clayton,4,0,0,0.05,0.03
90145738,MMC- Clayton,12,0,0,0.05,0.03
90145741,Casey,5,0,0,0,0.03
90145754,MMC- Clayton,6,0,0,0.05,0.03
90145901,Casey,31,0,0,0,0.03
90145901,MMC- Clayton,37,0,0,0.05,0.03
90146246,Casey,2,0,0,0,0.03
90146286,Dandenong,1,0,0,0,0.03
90146286,MMC- Clayton,18,0,0,0.05,0.03
90148355,Casey,5,0,0,0,0.03
90148355,MMC- Clayton,2,0,0,0.05,0.03
90148374,Dandenong,1,0,0,0,0.03
90148809,MMC- Clayton,1,0,0,0.05,0.03
90149605,MMC- Clayton,9,0,0,0.05,0.03
90150180,MMC- Clayton,4,0,0,0.05,0.03
90152266,Casey,2,0,0,0,0.03
90152983,Casey,1,0,0,0,0.03
90153189,MMC- Clayton,1,0,0,0.05,0.03
90153195,MMC- Clayton,1,0,0,0.05,0.03
90153760,Casey,6,0,0,0,0.03
90154175,Casey,6,0,0,0,0.03
90154175,MMC- Clayton,13,0,0,0.05,0.03
90154371,Dandenong,5,0,0,0,0.03
90154449,Casey,2,0,0,0,0.03
90155188,MMC- Clayton,12,0,0,0.05,0.03
90155200,MMC- Clayton,20,0,0,0.05,0.03
90156769,Dandenong,1,0,0,0,0.03
90157612,MMC- Clayton,19,0,0,0.05,0.03
90159236,MMC- Clayton,4,0,0,0.05,0.03
90160332,MMC- Clayton,2,0,0,0.05,0.03
90160353,Casey,2,0,0,0,0.03
90160501,MMC- Clayton,4,0,0,0.05,0.03
90160513,MMC- Clayton,1,0,0,0.05,0.03
90160621,MMC- Clayton,1,0,0,0.05,0.03
90160622,Casey,1,0,0,0,0.03
90160636,MMC- Clayton,2,0,0,0.05,0.03
90160647,Dandenong,1,0,0,0,0.03
90160650,Dandenong,3,0,0,0,0.03
90160655,Casey,1,0,0,0,0.03
90160699,MMC- Clayton,3,0,0,0.05,0.03
90160968,Dandenong,1,0,0,0,0.03
90161039,MMC- Clayton,21,0,0,0.05,0.03
90161091,MMC- Clayton,17,0,0,0.05,0.03
90161096,Casey,4,0,0,0,0.03
90161173,Casey,2,0,0,0,0.03
90161185,MMC- Clayton,1,0,0,0.05,0.03
90161376,MMC- Clayton,1,0,0,0.05,0.03
90161873,MMC- Clayton,19,0,0,0.05,0.03
90161944,Casey,4,0,0,0,0.03
90162065,Casey,17,0,0,0,0.03
90162077,MMC- Clayton,11,0,0,0.05,0.03
90162078,MMC- Clayton,13,0,0,0.05,0.03
90162079,MMC- Clayton,31,0,0,0.05,0.03
90162080,MMC- Clayton,5,0,0,0.05,0.03
90162081,MMC- Clayton,41,0,0,0.05,0.03
90162082,Casey,8,0,0,0,0.03
90162082,MMC- Clayton,9,0,0,0.05,0.03
90162251,MMC- Clayton,33,0,0,0.05,0.03
90162252,MMC- Clayton,27,0,0,0.05,0.03
90162330,MMC- Clayton,14,0,0,0.05,0.03
90162599,MMC- Clayton,37,0,0,0.05,0.03
90162759,MMC- Clayton,20,0,0,0.05,0.03
90162770,Casey,7,0,0,0,0.03
